162 ms ; init
10986501 ms ; Button pressed (no action triggered)
10986741 ms ; Button pressed (no action triggered)
10986977 ms ; Button pressed (no action triggered)
10987210 ms ; Button pressed (no action triggered)
10987432 ms ; Button pressed (no action triggered)
10987621 ms ; Button pressed (no action triggered)
10987833 ms ; Button pressed (no action triggered)
10989489 ms ; Button pressed (no action triggered)
10989682 ms ; Button pressed (no action triggered)
10989879 ms ; Button pressed (no action triggered)
10990096 ms ; Button pressed (no action triggered)
10990305 ms ; Button pressed (no action triggered)
10990605 ms ; Button pressed (no action triggered)
10990845 ms ; Button pressed (no action triggered)
10991072 ms ; Button pressed (no action triggered)
10991289 ms ; Button pressed (no action triggered)
10991515 ms ; Button pressed (no action triggered)
10991727 ms ; Button pressed (no action triggered)
10991942 ms ; Button pressed (no action triggered)
10992180 ms ; Button pressed (no action triggered)
10992399 ms ; Button pressed (no action triggered)
10992612 ms ; Button pressed (no action triggered)
10992844 ms ; Button pressed (no action triggered)
10993070 ms ; Button pressed (no action triggered)
11000388 ms ; Button pressed (no action triggered)
12897844 ms ; Button pressed - Motor activated
12900295 ms ; Button pressed (while motor running)
12901940 ms ; Motor stopped - Micro switch triggered
14333538 ms ; Button pressed - Motor activated
14336720 ms ; Button pressed (while motor running)
14337675 ms ; Motor stopped - Micro switch triggered
14337909 ms ; Button pressed (no action triggered)
14338580 ms ; Button pressed (no action triggered)
14339154 ms ; Button pressed (no action triggered)
14339948 ms ; Button pressed (no action triggered)
14340718 ms ; Button pressed (no action triggered)
14347291 ms ; Button pressed (no action triggered)
14347836 ms ; Button pressed (no action triggered)
14348315 ms ; Button pressed (no action triggered)
14348687 ms ; Button pressed (no action triggered)
14349005 ms ; Button pressed (no action triggered)
14349261 ms ; Button pressed (no action triggered)
14349504 ms ; Button pressed (no action triggered)
14350189 ms ; Button pressed (no action triggered)
14350503 ms ; Button pressed (no action triggered)
14350825 ms ; Button pressed (no action triggered)
14351123 ms ; Button pressed (no action triggered)
14351442 ms ; Button pressed (no action triggered)
14351772 ms ; Button pressed (no action triggered)
14352112 ms ; Button pressed (no action triggered)
14353395 ms ; Button pressed (no action triggered)
14353809 ms ; Button pressed (no action triggered)
14354190 ms ; Button pressed (no action triggered)
14379505 ms ; Button pressed - Motor activated
14381472 ms ; Button pressed (while motor running)
