2025-03-30 02:13:51 - Sound in hebrew is activate
2025-03-30 02:13:51 - Sound in hebrew is activate
2025-03-30 02:13:51 - Sound in hebrew is activate
2025-03-30 02:13:51 - Sound in hebrew is activate
2025-03-30 02:13:51 - Sound in hebrew is activate
2025-03-30 02:13:51 - Sound in hebrew is activate
2025-03-30 02:13:51 - Sound in hebrew is activate
2025-03-30 02:13:51 - Sound in hebrew is activate
2025-03-30 02:13:51 - Sound in hebrew is activate
2025-03-30 02:13:51 - Sound in hebrew is activate
2025-03-30 02:13:51 - Sound in hebrew is activate
2025-03-30 02:13:51 - Sound in hebrew is activate
2025-03-30 02:13:51 - Sound in hebrew is activate
2025-03-30 02:13:51 - Sound in hebrew is activate
2025-03-30 02:13:52 - Sound in hebrew is activate
2025-03-30 02:13:52 - Sound in hebrew is activate
2025-03-30 02:13:52 - Sound in hebrew is activate
2025-03-30 02:13:52 - Sound in hebrew is activate
2025-03-30 02:13:52 - Sound in hebrew is activate
2025-03-30 02:13:52 - Sound in hebrew is activate
2025-03-30 02:13:52 - Sound in hebrew is activate
2025-03-30 02:13:52 - Sound in hebrew is activate
2025-03-30 02:13:52 - Sound in hebrew is activate
2025-03-30 02:13:52 - Sound in hebrew is activate
2025-03-30 02:13:52 - Sound in hebrew is activate
2025-03-30 02:13:52 - Sound in hebrew is activate
2025-03-30 02:13:52 - Sound in hebrew is activate
2025-03-30 02:13:52 - Sound in hebrew is activate
2025-03-30 02:13:52 - Sound in hebrew is activate
2025-03-30 02:13:52 - Sound in hebrew is activate
2025-03-30 02:13:53 - Sound in hebrew is activate
2025-03-30 02:14:29 - Starting Hydrogen Rocket UI
2025-03-30 02:14:29 - Error: Arduino not found
2025-03-30 02:14:38 - Sound in hebrew is activate
2025-03-30 02:17:06 - Starting Hydrogen Rocket UI
2025-03-30 02:17:06 - Error: Arduino not found
2025-03-30 02:17:16 - Sound in hebrew is activate
2025-03-30 02:17:38 - Sound in english is activate
2025-03-30 02:17:57 - Sound in arabic is activate
2025-03-30 02:18:12 - Sound in hebrew is activate
2025-03-30 14:04:57 - Starting Hydrogen Rocket UI
2025-03-30 14:04:57 - Error: Arduino not found
2025-03-30 15:03:04 - Starting Hydrogen Rocket UI
2025-03-30 15:03:04 - Error: Arduino not found
2025-03-30 23:39:09 - Starting Hydrogen Rocket UI
2025-03-30 23:39:09 - Error: Arduino not found
