258 ms ; Init
3994075 ms ; Button pressed (no action triggered)
3994392 ms ; Button pressed (no action triggered)
3994662 ms ; Button pressed (no action triggered)
3994789 ms ; Button pressed (no action triggered)
3995164 ms ; Button pressed (no action triggered)
3995498 ms ; Button pressed (no action triggered)
3996152 ms ; Button pressed (no action triggered)
4120417 ms ; Button pressed - Motor activated
4123209 ms ; Button pressed (while motor running)
4124478 ms ; Motor stopped - Micro switch triggered
4124939 ms ; Button pressed (no action triggered)
4126061 ms ; Button pressed (no action triggered)
4633452 ms ; Button pressed - Motor activated
4637029 ms ; Button pressed (while motor running)
4637421 ms ; Button pressed (while motor running)
4637529 ms ; Motor stopped - Micro switch triggered
4637594 ms ; Button pressed (no action triggered)
4637812 ms ; Button pressed (no action triggered)
4638789 ms ; Button pressed (no action triggered)
4639039 ms ; Button pressed (no action triggered)
4640372 ms ; Button pressed (no action triggered)
4641074 ms ; Button pressed (no action triggered)
4642227 ms ; Button pressed (no action triggered)
4642570 ms ; Button pressed (no action triggered)
4642820 ms ; Button pressed (no action triggered)
4647864 ms ; Button pressed (no action triggered)
4648177 ms ; Button pressed (no action triggered)
4648438 ms ; Button pressed (no action triggered)
4648712 ms ; Button pressed (no action triggered)
4648910 ms ; Button pressed (no action triggered)
4649124 ms ; Button pressed (no action triggered)
4649716 ms ; Button pressed (no action triggered)
4649951 ms ; Button pressed (no action triggered)
4650191 ms ; Button pressed (no action triggered)
4650436 ms ; Button pressed (no action triggered)
4652995 ms ; Button pressed (no action triggered)
4655421 ms ; Button pressed (no action triggered)
4657664 ms ; Button pressed (no action triggered)
4658580 ms ; Button pressed (no action triggered)
4658842 ms ; Button pressed (no action triggered)
4659124 ms ; Button pressed (no action triggered)
4659418 ms ; Button pressed (no action triggered)
4659952 ms ; Button pressed (no action triggered)
4670529 ms ; Button pressed - Motor activated
4673569 ms ; Button pressed (while motor running)
4674664 ms ; Motor stopped - Micro switch triggered
4674772 ms ; Button pressed (no action triggered)
4675545 ms ; Button pressed (no action triggered)
4676681 ms ; Button pressed (no action triggered)
4678627 ms ; Button pressed (no action triggered)
4681676 ms ; Button pressed (no action triggered)
4721451 ms ; Button pressed - Motor activated
