408 ms ; init
50577095 ms ; SW2 ;has been pressed
50577414 ms ; SW3 ;has been pressed
50577532 ms ; SW4 ;has been pressed
50578206 ms ; SW2 ;has been pressed
50580791 ms ; SW2 ;has been pressed
50580992 ms ; SW2 ;has been pressed
50581223 ms ; SW2 ;has been pressed
50581465 ms ; SW2 ;has been pressed
50581693 ms ; SW2 ;has been pressed
50581948 ms ; SW2 ;has been pressed
50582227 ms ; SW2 ;has been pressed
50582509 ms ; SW2 ;has been pressed
50582781 ms ; SW2 ;has been pressed
50583074 ms ; SW2 ;has been pressed
50583377 ms ; SW2 ;has been pressed
50583654 ms ; SW2 ;has been pressed
50583939 ms ; SW2 ;has been pressed
50584183 ms ; SW2 ;has been pressed
50584439 ms ; SW2 ;has been pressed
50584713 ms ; SW2 ;has been pressed
50584925 ms ; SW2 ;has been pressed
50585346 ms ; SW2 ;has been pressed
50585572 ms ; SW2 ;has been pressed
50585899 ms ; SW2 ;has been pressed
50586020 ms ; SW2 ;has been pressed
50586247 ms ; SW2 ;has been pressed
50586676 ms ; SW2 ;has been pressed
50607136 ms ; SW2 ;has been pressed
50607360 ms ; SW2 ;has been pressed
50607537 ms ; SW2 ;has been pressed
50608076 ms ; SW2 ;has been pressed
50608297 ms ; SW2 ;has been pressed
50608519 ms ; SW2 ;has been pressed
50608732 ms ; SW4 ;has been pressed
50608908 ms ; SW4 ;has been pressed
50609238 ms ; SW2 ;has been pressed
50609474 ms ; SW2 ;has been pressed
50609642 ms ; SW4 ;has been pressed
50609974 ms ; SW4 ;has been pressed
50610141 ms ; SW4 ;has been pressed
50610401 ms ; SW4 ;has been pressed
50610665 ms ; SW2 ;has been pressed
50611070 ms ; SW2 ;has been pressed
50611351 ms ; SW2 ;has been pressed
50611581 ms ; SW2 ;has been pressed
50629571 ms ; SW2 ;has been pressed
50629978 ms ; SW2 ;has been pressed
50636155 ms ; SW2 ;has been pressed
50637247 ms ; SW3 ;has been pressed
50637675 ms ; SW4 ;has been pressed
50637896 ms ; SW4 ;has been pressed
50639778 ms ; SW4 ;has been pressed and the led UV has activate
50640402 ms ; SW1 ;has been pressed
50641097 ms ; SW4 ;has been pressed
50641336 ms ; SW1 ;has been pressed
50641696 ms ; SW1 ;has been pressed
50642987 ms ; SW1 ;has been pressed
50644304 ms ; SW1 ;has been pressed
50645881 ms ; SW4 ;has been pressed
50692571 ms ; SW1 ;has been pressed
50692892 ms ; SW2 ;has been pressed
50693259 ms ; SW3 ;has been pressed
50694755 ms ; SW3 ;has been pressed
50695047 ms ; SW2 ;has been pressed
50695465 ms ; SW1 ;has been pressed
50739423 ms ; SW2 a été pressé
50739649 ms ; SW4 a été pressé
50739817 ms ; SW2 a été pressé
50740697 ms ; SW2 a été pressé
50787082 ms ; SW1 ;has been pressed and the led UV has activate
50787302 ms ; SW4 ;has been pressed
50869536 ms ; SW4 ;has been pressed
50876707 ms ; SW2 ;has been pressed
50876898 ms ; SW2 ;has been pressed
50877078 ms ; SW2 ;has been pressed
50877301 ms ; SW3 ;has been pressed
50877583 ms ; SW3 a été pressé
50877705 ms ; SW3 a été pressé
50877917 ms ; SW3 a été pressé
50878214 ms ; SW4 a été pressé
50878348 ms ; SW3 a été pressé
50878543 ms ; SW2 ;has been pressed and the led UV has activate
50878771 ms ; SW2 ;has been pressed
50878889 ms ; SW3 ;has been pressed
50879008 ms ; SW2 ;has been pressed
50879198 ms ; SW2 ;has been pressed
50879316 ms ; SW3 ;has been pressed
50879574 ms ; SW3 ;has been pressed
50879692 ms ; SW2 ;has been pressed
