417 ms ; init
398 ms ; init
8195257 ms ; SW2 ;has been pressed
8731355 ms ; SW1 ;has been pressed and the led UV has activate
8732212 ms ; SW2 ;has been pressed
8732459 ms ; SW2 ;has been pressed
8733382 ms ; SW2 ;has been pressed
8733501 ms ; SW2 ;has been pressed
8734689 ms ; SW3 ;has been pressed
8735149 ms ; SW4 ;has been pressed
8735309 ms ; SW4 ;has been pressed
8735575 ms ; SW4 ;has been pressed
8735850 ms ; SW4 ;has been pressed
8736059 ms ; SW4 ;has been pressed
8736286 ms ; SW4 ;has been pressed
8737247 ms ; SW2 ;has been pressed
8737499 ms ; SW2 ;has been pressed
8737730 ms ; SW2 ;has been pressed
8737933 ms ; SW2 ;has been pressed
8738163 ms ; SW2 ;has been pressed
8738372 ms ; SW2 ;has been pressed
8738588 ms ; SW2 ;has been pressed
8756820 ms ; SW1 ;has been pressed
8757430 ms ; SW2 ;has been pressed
8757573 ms ; SW2 ;has been pressed
8757713 ms ; SW2 ;has been pressed
8758653 ms ; SW3 ;has been pressed
8759133 ms ; SW4 ;has been pressed
8759323 ms ; SW4 ;has been pressed
8759459 ms ; SW4 ;has been pressed
8759588 ms ; SW4 ;has been pressed
8759708 ms ; SW4 ;has been pressed
8759909 ms ; SW4 ;has been pressed
8760028 ms ; SW4 ;has been pressed
8760215 ms ; SW4 ;has been pressed
8760455 ms ; SW4 ;has been pressed
8760573 ms ; SW4 ;has been pressed
8765853 ms ; SW3 ;has been pressed
8766108 ms ; SW3 ;has been pressed
8766925 ms ; SW3 ;has been pressed
8767705 ms ; SW1 ;has been pressed
8767995 ms ; SW1 ;has been pressed
8768564 ms ; SW1 ;has been pressed
8768832 ms ; SW1 ;has been pressed
8769101 ms ; SW1 ;has been pressed
8769292 ms ; SW1 ;has been pressed
8769502 ms ; SW1 ;has been pressed
8769860 ms ; SW2 ;has been pressed
8770059 ms ; SW2 ;has been pressed
8770228 ms ; SW2 ;has been pressed
8770614 ms ; SW3 ;has been pressed
8770789 ms ; SW3 ;has been pressed
8770925 ms ; SW3 ;has been pressed
8771251 ms ; SW4 ;has been pressed
8771428 ms ; SW4 ;has been pressed
8771591 ms ; SW4 ;has been pressed
13681396 ms ; SW4 ;has been pressed
13681816 ms ; SW4 ;has been pressed
13682369 ms ; SW2 ;has been pressed and the led UV has activate
13682588 ms ; SW2 ;has been pressed
13682911 ms ; SW2 ;has been pressed
13683130 ms ; SW2 ;has been pressed
13683153 ms ; SW3 ;has been pressed
13683272 ms ; SW2 ;has been pressed
13683681 ms ; SW3 ;has been pressed
13683699 ms ; SW2 ;has been pressed
13684616 ms ; SW4 ;has been pressed
13684638 ms ; SW1 ;has been pressed
13685335 ms ; SW1 ;has been pressed
13685705 ms ; SW4 ;has been pressed
13685947 ms ; SW4 ;has been pressed
13686262 ms ; SW4 ;has been pressed
13686381 ms ; SW4 ;has been pressed
13686575 ms ; SW4 ;has been pressed
13686754 ms ; SW4 ;has been pressed
13687156 ms ; SW4 ;has been pressed
13729045 ms ; SW1 ;has been pressed
13729148 ms ; SW4 ;has been pressed
13730302 ms ; SW2 ;has been pressed
13730323 ms ; SW3 ;has been pressed
14286670 ms ; SW3 ;has been pressed and the led UV has activate
14287306 ms ; SW4 ;has been pressed
14287486 ms ; SW4 ;has been pressed
14288883 ms ; SW3 ;has been pressed
14289986 ms ; SW3 ;has been pressed
14291446 ms ; SW3 ;has been pressed
14291720 ms ; SW4 ;has been pressed
14291876 ms ; SW2 ;has been pressed
14292102 ms ; SW2 ;has been pressed
14298834 ms ; SW4 ;has been pressed
15250797 ms ; SW4 ;has been pressed and the led UV has activate
15251016 ms ; SW4 ;has been pressed
15522357 ms ; SW2 ;has been pressed
15522661 ms ; SW2 ;has been pressed
15522792 ms ; SW2 ;has been pressed
15525403 ms ; SW1 ;has been pressed and the led UV has activate
15526775 ms ; SW4 ;has been pressed
15527064 ms ; SW3 ;has been pressed
15872180 ms ; SW4 ;has been pressed
15872410 ms ; SW4 ;has been pressed
15872787 ms ; SW3 ;has been pressed
15873300 ms ; SW2 ;has been pressed and the led UV has activate
17187764 ms ; SW3 ;has been pressed and the led UV has activate
17214392 ms ; SW4 ;has been pressed
17214909 ms ; SW4 ;has been pressed
17215032 ms ; SW4 ;has been pressed
18000430 ms ; 5 hours have passed
22839949 ms ; SW1 ;has been pressed
22840305 ms ; SW2 ;has been pressed
22847513 ms ; SW2 ;has been pressed
22852311 ms ; SW3 ;has been pressed
22852587 ms ; SW4 ;has been pressed and the led UV has activate
22854603 ms ; SW4 ;has been pressed
22855273 ms ; SW3 ;has been pressed
22855688 ms ; SW2 ;has been pressed
22855811 ms ; SW2 ;has been pressed
22856454 ms ; SW1 ;has been pressed
22862333 ms ; SW4 ;has been pressed
23463061 ms ; SW1 ;has been pressed and the led UV has activate
23463443 ms ; SW2 ;has been pressed
23464437 ms ; SW2 ;has been pressed
23464841 ms ; SW2 ;has been pressed
23466764 ms ; SW3 ;has been pressed
23467611 ms ; SW4 ;has been pressed
23467729 ms ; SW2 ;has been pressed
23467748 ms ; SW3 ;has been pressed
23467767 ms ; SW1 ;has been pressed
23468395 ms ; SW2 ;has been pressed
23468515 ms ; SW4 ;has been pressed
23468534 ms ; SW1 ;has been pressed
23468553 ms ; SW3 ;has been pressed
23469644 ms ; SW2 ;has been pressed
23469708 ms ; SW3 ;has been pressed
23478653 ms ; SW2 ;has been pressed
23478772 ms ; SW1 ;has been pressed
23478792 ms ; SW3 ;has been pressed
23478883 ms ; SW4 ;has been pressed
23507668 ms ; SW1 ;has been pressed
23509047 ms ; SW2 ;has been pressed
23509175 ms ; SW2 ;has been pressed
23509293 ms ; SW4 ;has been pressed
23509650 ms ; SW3 ;has been pressed
23509713 ms ; SW4 ;has been pressed
23510640 ms ; SW2 ;has been pressed
23510770 ms ; SW2 ;has been pressed
23512674 ms ; SW3 ;has been pressed
23516274 ms ; SW2 ;has been pressed
23516409 ms ; SW2 ;has been pressed
23516428 ms ; SW3 ;has been pressed
23516943 ms ; SW4 ;has been pressed
23517062 ms ; SW1 ;has been pressed
23517092 ms ; SW4 ;has been pressed
23517211 ms ; SW4 ;has been pressed
23517330 ms ; SW2 ;has been pressed
23517544 ms ; SW2 ;has been pressed
23517840 ms ; SW1 ;has been pressed
23517858 ms ; SW3 ;has been pressed
23518002 ms ; SW1 ;has been pressed
23518120 ms ; SW4 ;has been pressed
23518456 ms ; SW2 ;has been pressed
23530303 ms ; SW1 ;has been pressed
23530576 ms ; SW2 ;has been pressed
23530787 ms ; SW2 ;has been pressed
23530906 ms ; SW2 ;has been pressed
23531129 ms ; SW1 ;has been pressed
23531304 ms ; SW2 ;has been pressed
23581873 ms ; SW2 ;has been pressed and the led UV has activate
23582391 ms ; SW2 ;has been pressed
23582514 ms ; SW2 ;has been pressed
23587636 ms ; SW2 ;has been pressed
23587755 ms ; SW2 ;has been pressed
23588050 ms ; SW2 ;has been pressed
23588173 ms ; SW2 ;has been pressed
23588323 ms ; SW3 ;has been pressed
23588680 ms ; SW1 ;has been pressed
23588994 ms ; SW4 ;has been pressed
23589384 ms ; SW3 ;has been pressed
23651368 ms ; SW1 ;has been pressed
23653834 ms ; SW1 ;has been pressed
23657091 ms ; SW2 ;has been pressed
23657244 ms ; SW2 ;has been pressed
23657340 ms ; SW3 ;has been pressed
23658000 ms ; SW4 ;has been pressed
23658119 ms ; SW4 ;has been pressed
23658165 ms ; SW1 ;has been pressed
23661893 ms ; SW2 ;has been pressed
24242251 ms ; SW1 ;has been pressed
24242589 ms ; SW1 ;has been pressed
24243960 ms ; SW2 ;has been pressed
24244089 ms ; SW2 ;has been pressed
24244520 ms ; SW2 ;has been pressed
24244827 ms ; SW2 ;has been pressed
24244945 ms ; SW2 ;has been pressed
24245257 ms ; SW2 ;has been pressed
24245376 ms ; SW2 ;has been pressed
24245807 ms ; SW1 ;has been pressed
24246238 ms ; SW1 ;has been pressed
24247061 ms ; SW1 ;has been pressed
24563617 ms ; SW2 ;has been pressed
24563736 ms ; SW2 ;has been pressed
24564758 ms ; SW3 ;has been pressed and the led UV has activate
24566057 ms ; SW3 ;has been pressed
24571016 ms ; SW3 ;has been pressed
24571623 ms ; SW3 ;has been pressed
24572234 ms ; SW3 ;has been pressed
24573286 ms ; SW2 ;has been pressed
24573833 ms ; SW1 ;has been pressed
24574980 ms ; SW4 ;has been pressed
24577812 ms ; SW3 ;has been pressed
24577931 ms ; SW3 ;has been pressed
24649234 ms ; SW2 ;has been pressed
24649366 ms ; SW2 ;has been pressed
24649775 ms ; SW2 ;has been pressed
24649901 ms ; SW2 ;has been pressed
24650019 ms ; SW2 ;has been pressed
24650169 ms ; SW2 ;has been pressed
24650288 ms ; SW2 ;has been pressed
24655936 ms ; SW3 ;has been pressed
