415 ms ; init
39930300 ms ; SW2 ;has been pressed
39930422 ms ; SW2 ;has been pressed
39931442 ms ; SW2 ;has been pressed
39931463 ms ; SW3 ;has been pressed
39931485 ms ; SW4 ;has been pressed
39931537 ms ; SW1 ;has been pressed
39933249 ms ; SW3 ;has been pressed
39955883 ms ; SW3 ;has been pressed
39956633 ms ; SW2 ;has been pressed
39957373 ms ; SW2 ;has been pressed
39967667 ms ; SW3 ;has been pressed
39967789 ms ; SW3 ;has been pressed
39971349 ms ; SW2 ;has been pressed
39971615 ms ; SW1 ;has been pressed
39972527 ms ; SW3 ;has been pressed
39974188 ms ; SW4 ;has been pressed
40104582 ms ; SW4 ;has been pressed and the led UV has activate
40105169 ms ; SW3 ;has been pressed
40106639 ms ; SW3 ;has been pressed
40108270 ms ; SW3 ;has been pressed
40108405 ms ; SW4 ;has been pressed
40108659 ms ; SW3 ;has been pressed
40108697 ms ; SW4 ;has been pressed
40109007 ms ; SW4 ;has been pressed
40109352 ms ; SW4 ;has been pressed
40109374 ms ; SW3 ;has been pressed
40109950 ms ; SW2 ;has been pressed
40110205 ms ; SW2 ;has been pressed
40110227 ms ; SW3 ;has been pressed
40111064 ms ; SW1 ;has been pressed
40111773 ms ; SW2 ;has been pressed
40111795 ms ; SW3 ;has been pressed
40112630 ms ; SW1 ;has been pressed
40113327 ms ; SW2 ;has been pressed
40113447 ms ; SW2 ;has been pressed
40113469 ms ; SW3 ;has been pressed
40114141 ms ; SW4 ;has been pressed
40114217 ms ; SW1 ;has been pressed
40114499 ms ; SW1 ;has been pressed
40185835 ms ; SW1 ;has been pressed
40186457 ms ; SW1 ;has been pressed
40190365 ms ; SW4 ;has been pressed
40190487 ms ; SW3 ;has been pressed
40190905 ms ; SW4 ;has been pressed
40191202 ms ; SW4 ;has been pressed
40191411 ms ; SW3 ;has been pressed
40191791 ms ; SW3 ;has been pressed
40192224 ms ; SW3 ;has been pressed
40192266 ms ; SW4 ;has been pressed
40192966 ms ; SW1 ;has been pressed
40194056 ms ; SW1 ;has been pressed
40197244 ms ; SW1 ;has been pressed and the led UV has activate
40197847 ms ; SW1 ;has been pressed
40233135 ms ; SW2 ;has been pressed
40233367 ms ; SW2 ;has been pressed
40233829 ms ; SW2 ;has been pressed
40233849 ms ; SW3 ;has been pressed
40234014 ms ; SW2 ;has been pressed
40234392 ms ; SW2 ;has been pressed
40234717 ms ; SW2 ;has been pressed
40234838 ms ; SW4 ;has been pressed
40235523 ms ; SW1 ;has been pressed
40235565 ms ; SW4 ;has been pressed
40235968 ms ; SW3 ;has been pressed
40235988 ms ; SW1 ;has been pressed
40236499 ms ; SW2 ;has been pressed
40236649 ms ; SW2 ;has been pressed
40236722 ms ; SW3 ;has been pressed
40236742 ms ; SW4 ;has been pressed
40236764 ms ; SW1 ;has been pressed
40237472 ms ; SW2 ;has been pressed
40237593 ms ; SW2 ;has been pressed
40238308 ms ; SW1 ;has been pressed
40238670 ms ; SW4 ;has been pressed
40252774 ms ; SW2 ;has been pressed
40253345 ms ; SW2 ;has been pressed
40253495 ms ; SW2 ;has been pressed
40253616 ms ; SW3 ;has been pressed
40253968 ms ; SW2 ;has been pressed
40254117 ms ; SW2 ;has been pressed
40254139 ms ; SW1 ;has been pressed
40254180 ms ; SW4 ;has been pressed
40254538 ms ; SW1 ;has been pressed
40255169 ms ; SW3 ;has been pressed
40255868 ms ; SW4 ;has been pressed
40257623 ms ; SW3 ;has been pressed
40258270 ms ; SW4 ;has been pressed
40324005 ms ; SW2 ;has been pressed and the led UV has activate
40324638 ms ; SW4 ;has been pressed
40325685 ms ; SW3 ;has been pressed
40359191 ms ; SW4 ;has been pressed
40360324 ms ; SW3 ;has been pressed
40361167 ms ; SW2 ;has been pressed
40361504 ms ; SW2 ;has been pressed
40361638 ms ; SW2 ;has been pressed
40362758 ms ; SW1 ;has been pressed
40368962 ms ; SW2 ;has been pressed
40369608 ms ; SW2 ;has been pressed
40375749 ms ; SW2 ;has been pressed
40377410 ms ; SW2 ;has been pressed
40378974 ms ; SW2 ;has been pressed
40379351 ms ; SW2 ;has been pressed
40379504 ms ; SW2 ;has been pressed
40379953 ms ; SW2 ;has been pressed
40380178 ms ; SW2 ;has been pressed
40380301 ms ; SW2 ;has been pressed
40380457 ms ; SW2 ;has been pressed
40380576 ms ; SW1 ;has been pressed
40380813 ms ; SW2 ;has been pressed
40383908 ms ; SW2 ;has been pressed
40383997 ms ; SW4 ;has been pressed
40384307 ms ; SW1 ;has been pressed
40384591 ms ; SW3 ;has been pressed
40384617 ms ; SW1 ;has been pressed
40385215 ms ; SW1 ;has been pressed
40385247 ms ; SW4 ;has been pressed
40385676 ms ; SW3 ;has been pressed
40386323 ms ; SW1 ;has been pressed
40386397 ms ; SW3 ;has been pressed
40386692 ms ; SW3 ;has been pressed
40387028 ms ; SW3 ;has been pressed
40487267 ms ; SW3 ;has been pressed and the led UV has activate
40488016 ms ; SW2 ;has been pressed
40488038 ms ; SW4 ;has been pressed
40488206 ms ; SW2 ;has been pressed
40488410 ms ; SW2 ;has been pressed
40489021 ms ; SW3 ;has been pressed
40489338 ms ; SW1 ;has been pressed
40536429 ms ; SW1 ;has been pressed
40536582 ms ; SW2 ;has been pressed
40536955 ms ; SW2 ;has been pressed
40537086 ms ; SW2 ;has been pressed
40537573 ms ; SW2 ;has been pressed
40537864 ms ; SW2 ;has been pressed
40546396 ms ; SW3 ;has been pressed
40613554 ms ; SW4 ;has been pressed and the led UV has activate
40695129 ms ; SW1 ;has been pressed
40695533 ms ; SW2 ;has been pressed
40695707 ms ; SW2 ;has been pressed
40696758 ms ; SW2 ;has been pressed
40697300 ms ; SW2 ;has been pressed
40697647 ms ; SW2 ;has been pressed
40698279 ms ; SW2 ;has been pressed
40761603 ms ; SW1 ;has been pressed and the led UV has activate
40761947 ms ; SW1 ;has been pressed
40762506 ms ; SW1 ;has been pressed
40763095 ms ; SW2 ;has been pressed
40763436 ms ; SW4 ;has been pressed
40763900 ms ; SW3 ;has been pressed
40775470 ms ; SW4 ;has been pressed
40776086 ms ; SW4 ;has been pressed
40776414 ms ; SW4 ;has been pressed
40776632 ms ; SW4 ;has been pressed
40776901 ms ; SW4 ;has been pressed
40777110 ms ; SW4 ;has been pressed
40777289 ms ; SW4 ;has been pressed
40778120 ms ; SW3 ;has been pressed
40778642 ms ; SW3 ;has been pressed
40778915 ms ; SW3 ;has been pressed
40779155 ms ; SW3 ;has been pressed
40779584 ms ; SW3 ;has been pressed
40780022 ms ; SW3 ;has been pressed
40781148 ms ; SW4 ;has been pressed
40781263 ms ; SW3 ;has been pressed
40781810 ms ; SW4 ;has been pressed
40781923 ms ; SW3 ;has been pressed
40782723 ms ; SW1 ;has been pressed
40783290 ms ; SW1 ;has been pressed
40803757 ms ; SW4 ;has been pressed
40803896 ms ; SW3 ;has been pressed
40804433 ms ; SW3 ;has been pressed
40804555 ms ; SW3 ;has been pressed
40804683 ms ; SW4 ;has been pressed
40809603 ms ; SW3 ;has been pressed
40809755 ms ; SW4 ;has been pressed
40810465 ms ; SW4 ;has been pressed
40810505 ms ; SW3 ;has been pressed
40811159 ms ; SW4 ;has been pressed
40811230 ms ; SW3 ;has been pressed
40811786 ms ; SW4 ;has been pressed
40811842 ms ; SW3 ;has been pressed
40811963 ms ; SW3 ;has been pressed
40813418 ms ; SW3 ;has been pressed
40813440 ms ; SW4 ;has been pressed
40814016 ms ; SW1 ;has been pressed
40814292 ms ; SW4 ;has been pressed
40814754 ms ; SW1 ;has been pressed
40815088 ms ; SW2 ;has been pressed
40815213 ms ; SW2 ;has been pressed
40815447 ms ; SW2 ;has been pressed
40816161 ms ; SW1 ;has been pressed
40816346 ms ; SW3 ;has been pressed
40823179 ms ; SW2 ;has been pressed
40823470 ms ; SW2 ;has been pressed
40824030 ms ; SW3 ;has been pressed
40824637 ms ; SW1 ;has been pressed
40824818 ms ; SW4 ;has been pressed
40827653 ms ; SW1 ;has been pressed
40847946 ms ; SW1 ;has been pressed
40849371 ms ; SW1 ;has been pressed
40850397 ms ; SW1 ;has been pressed
40850712 ms ; SW2 ;has been pressed
40850833 ms ; SW2 ;has been pressed
40851121 ms ; SW2 ;has been pressed
40851820 ms ; SW2 ;has been pressed
40851842 ms ; SW4 ;has been pressed
40852112 ms ; SW1 ;has been pressed
40852594 ms ; SW2 ;has been pressed and the led UV has activate
40852936 ms ; SW4 ;has been pressed
40853545 ms ; SW2 ;has been pressed
40854102 ms ; SW3 ;has been pressed
40856349 ms ; SW2 ;has been pressed
40856530 ms ; SW2 ;has been pressed
40856755 ms ; SW3 ;has been pressed
40857330 ms ; SW2 ;has been pressed
40857482 ms ; SW2 ;has been pressed
40857949 ms ; SW1 ;has been pressed
40858248 ms ; SW4 ;has been pressed
40859172 ms ; SW2 ;has been pressed
40859543 ms ; SW2 ;has been pressed
40860516 ms ; SW2 ;has been pressed
40869907 ms ; SW1 ;has been pressed
40892420 ms ; SW2 ;has been pressed
40893298 ms ; SW2 ;has been pressed
40894371 ms ; SW2 ;has been pressed
40894939 ms ; SW2 ;has been pressed
40895060 ms ; SW2 ;has been pressed
40895972 ms ; SW2 ;has been pressed
40897343 ms ; SW1 ;has been pressed
40915077 ms ; SW2 ;has been pressed
40915914 ms ; SW1 ;has been pressed
40916886 ms ; SW1 ;has been pressed
40917297 ms ; SW2 ;has been pressed
40917502 ms ; SW2 ;has been pressed
40918834 ms ; SW1 ;has been pressed
40919653 ms ; SW2 ;has been pressed
40919674 ms ; SW1 ;has been pressed
40919988 ms ; SW2 ;has been pressed
40920109 ms ; SW3 ;has been pressed
40920365 ms ; SW2 ;has been pressed
40920534 ms ; SW3 ;has been pressed
40920808 ms ; SW3 ;has been pressed
40922007 ms ; SW2 ;has been pressed
40923307 ms ; SW3 ;has been pressed
40923686 ms ; SW4 ;has been pressed
40923772 ms ; SW3 ;has been pressed
40924107 ms ; SW4 ;has been pressed
40924128 ms ; SW2 ;has been pressed
40924254 ms ; SW3 ;has been pressed
40924504 ms ; SW4 ;has been pressed
40924694 ms ; SW3 ;has been pressed
40924989 ms ; SW2 ;has been pressed
40925110 ms ; SW3 ;has been pressed
40925239 ms ; SW3 ;has been pressed
40925488 ms ; SW3 ;has been pressed
40925674 ms ; SW2 ;has been pressed
40925890 ms ; SW2 ;has been pressed
40926155 ms ; SW2 ;has been pressed
40926333 ms ; SW2 ;has been pressed
40926582 ms ; SW2 ;has been pressed
40952174 ms ; SW1 ;has been pressed
40954942 ms ; SW3 ;has been pressed and the led UV has activate
40956607 ms ; SW2 ;has been pressed
40956887 ms ; SW2 ;has been pressed
40963465 ms ; SW1 ;has been pressed
40964096 ms ; SW2 ;has been pressed
40966119 ms ; SW3 ;has been pressed
40966986 ms ; SW4 ;has been pressed
40973409 ms ; SW1 ;has been pressed
40976349 ms ; SW4 ;has been pressed
40977177 ms ; SW3 ;has been pressed
40978388 ms ; SW1 ;has been pressed
40978862 ms ; SW2 ;has been pressed
40978883 ms ; SW3 ;has been pressed
40979210 ms ; SW3 ;has been pressed
40979529 ms ; SW1 ;has been pressed
40996815 ms ; SW2 ;has been pressed
40997614 ms ; SW2 ;has been pressed
40998504 ms ; SW1 ;has been pressed
40998817 ms ; SW1 ;has been pressed
40999166 ms ; SW1 ;has been pressed
40999335 ms ; SW3 ;has been pressed
41012445 ms ; SW1 ;has been pressed
41012674 ms ; SW1 ;has been pressed
41013055 ms ; SW1 ;has been pressed
41103546 ms ; SW2 ;has been pressed
41103977 ms ; SW2 ;has been pressed
41110886 ms ; SW1 ;has been pressed
41111805 ms ; SW2 ;has been pressed
41112292 ms ; SW2 ;has been pressed
41113017 ms ; SW3 ;has been pressed
41113764 ms ; SW4 ;has been pressed and the led UV has activate
41159965 ms ; SW4 ;has been pressed
41170512 ms ; SW1 ;has been pressed
41171205 ms ; SW2 ;has been pressed
41171937 ms ; SW2 ;has been pressed
41172172 ms ; SW3 ;has been pressed
41172738 ms ; SW2 ;has been pressed
41172807 ms ; SW3 ;has been pressed
41173404 ms ; SW3 ;has been pressed
41173604 ms ; SW3 ;has been pressed
41174194 ms ; SW3 ;has been pressed
41174218 ms ; SW2 ;has been pressed
41174861 ms ; SW2 ;has been pressed
41174996 ms ; SW2 ;has been pressed
41175487 ms ; SW3 ;has been pressed
41175631 ms ; SW2 ;has been pressed
41176953 ms ; SW2 ;has been pressed
41177074 ms ; SW2 ;has been pressed
41177096 ms ; SW3 ;has been pressed
41177495 ms ; SW2 ;has been pressed
41177517 ms ; SW3 ;has been pressed
41179330 ms ; SW4 ;has been pressed
41182158 ms ; SW3 ;has been pressed
41182200 ms ; SW1 ;has been pressed
41182251 ms ; SW4 ;has been pressed
41210033 ms ; SW2 ;has been pressed
41210155 ms ; SW2 ;has been pressed
41210997 ms ; SW3 ;has been pressed
41211400 ms ; SW1 ;has been pressed and the led UV has activate
41211753 ms ; SW4 ;has been pressed
41212290 ms ; SW1 ;has been pressed
41212441 ms ; SW3 ;has been pressed
41212562 ms ; SW3 ;has been pressed
41215211 ms ; SW1 ;has been pressed
41215697 ms ; SW2 ;has been pressed
41215872 ms ; SW2 ;has been pressed
41221315 ms ; SW3 ;has been pressed
41224050 ms ; SW1 ;has been pressed
41224707 ms ; SW2 ;has been pressed
41225420 ms ; SW2 ;has been pressed
41225674 ms ; SW2 ;has been pressed
41225844 ms ; SW2 ;has been pressed
41230151 ms ; SW4 ;has been pressed
41237063 ms ; SW2 ;has been pressed
41242832 ms ; SW1 ;has been pressed
41246196 ms ; SW4 ;has been pressed
41254350 ms ; SW2 ;has been pressed
41254921 ms ; SW2 ;has been pressed
41255385 ms ; SW2 ;has been pressed
41255506 ms ; SW2 ;has been pressed
41255630 ms ; SW2 ;has been pressed
41257843 ms ; SW1 ;has been pressed
41258071 ms ; SW1 ;has been pressed
41258430 ms ; SW3 ;has been pressed
41258779 ms ; SW4 ;has been pressed
41259012 ms ; SW4 ;has been pressed
41329913 ms ; SW1 ;has been pressed
41330435 ms ; SW2 ;has been pressed and the led UV has activate
41334912 ms ; SW2 ;has been pressed
41335032 ms ; SW2 ;has been pressed
41335483 ms ; SW2 ;has been pressed
41335623 ms ; SW2 ;has been pressed
41341531 ms ; SW3 ;has been pressed
41356752 ms ; SW3 ;has been pressed
41357762 ms ; SW4 ;has been pressed
41358157 ms ; SW4 ;has been pressed
41358446 ms ; SW4 ;has been pressed
41359284 ms ; SW2 ;has been pressed
41361546 ms ; SW1 ;has been pressed
41362139 ms ; SW1 ;has been pressed
41362394 ms ; SW1 ;has been pressed
41362958 ms ; SW1 ;has been pressed
41368844 ms ; SW2 ;has been pressed
41369930 ms ; SW2 ;has been pressed
41370064 ms ; SW2 ;has been pressed
41371373 ms ; SW2 ;has been pressed
41373425 ms ; SW2 ;has been pressed
41386142 ms ; SW2 ;has been pressed
41386285 ms ; SW2 ;has been pressed
41387063 ms ; SW1 ;has been pressed
41430060 ms ; SW2 ;has been pressed
41430185 ms ; SW2 ;has been pressed
41430455 ms ; SW4 ;has been pressed
41430697 ms ; SW1 ;has been pressed
41431131 ms ; SW1 ;has been pressed
41432094 ms ; SW3 ;has been pressed and the led UV has activate
41432475 ms ; SW2 ;has been pressed
41433142 ms ; SW3 ;has been pressed
41433866 ms ; SW2 ;has been pressed
41433992 ms ; SW2 ;has been pressed
41434419 ms ; SW3 ;has been pressed
41434565 ms ; SW1 ;has been pressed
41435061 ms ; SW1 ;has been pressed
41435410 ms ; SW4 ;has been pressed
41436283 ms ; SW2 ;has been pressed
41436459 ms ; SW2 ;has been pressed
41436754 ms ; SW4 ;has been pressed
41437624 ms ; SW3 ;has been pressed
41438524 ms ; SW4 ;has been pressed
41438555 ms ; SW1 ;has been pressed
41438924 ms ; SW2 ;has been pressed
41439139 ms ; SW2 ;has been pressed
41439355 ms ; SW2 ;has been pressed
41439476 ms ; SW2 ;has been pressed
41439646 ms ; SW2 ;has been pressed
41439768 ms ; SW2 ;has been pressed
41442918 ms ; SW3 ;has been pressed
41443553 ms ; SW2 ;has been pressed
41443846 ms ; SW2 ;has been pressed
41444248 ms ; SW2 ;has been pressed
41444511 ms ; SW2 ;has been pressed
41444637 ms ; SW2 ;has been pressed
41445087 ms ; SW3 ;has been pressed
41445494 ms ; SW3 ;has been pressed
41445615 ms ; SW3 ;has been pressed
41453654 ms ; SW3 ;has been pressed
41454034 ms ; SW4 ;has been pressed
41454056 ms ; SW3 ;has been pressed
41454318 ms ; SW3 ;has been pressed
41454557 ms ; SW4 ;has been pressed
41455034 ms ; SW3 ;has been pressed
41457111 ms ; SW1 ;has been pressed
41457798 ms ; SW1 ;has been pressed
41460115 ms ; SW2 ;has been pressed
41460135 ms ; SW1 ;has been pressed
41460530 ms ; SW3 ;has been pressed
41460730 ms ; SW3 ;has been pressed
41465971 ms ; SW1 ;has been pressed
41466363 ms ; SW1 ;has been pressed
41467082 ms ; SW1 ;has been pressed
41546896 ms ; SW4 ;has been pressed and the led UV has activate
41548678 ms ; SW4 ;has been pressed
41549027 ms ; SW4 ;has been pressed
41549343 ms ; SW4 ;has been pressed
41549766 ms ; SW4 ;has been pressed
41550278 ms ; SW4 ;has been pressed
41550921 ms ; SW3 ;has been pressed
41637508 ms ; SW3 ;has been pressed
41638851 ms ; SW3 ;has been pressed
41638924 ms ; SW4 ;has been pressed
41646754 ms ; SW1 ;has been pressed and the led UV has activate
41647813 ms ; SW1 ;has been pressed
41652794 ms ; SW1 ;has been pressed
41656793 ms ; SW4 ;has been pressed
41657553 ms ; SW3 ;has been pressed
41657703 ms ; SW3 ;has been pressed
41657728 ms ; SW4 ;has been pressed
41659042 ms ; SW2 ;has been pressed
41659215 ms ; SW2 ;has been pressed
41659336 ms ; SW3 ;has been pressed
41659458 ms ; SW2 ;has been pressed
41659582 ms ; SW4 ;has been pressed
41659806 ms ; SW1 ;has been pressed
41659836 ms ; SW4 ;has been pressed
41660244 ms ; SW2 ;has been pressed
41660266 ms ; SW1 ;has been pressed
41660804 ms ; SW1 ;has been pressed
41660825 ms ; SW3 ;has been pressed
41660847 ms ; SW4 ;has been pressed
41662883 ms ; SW2 ;has been pressed
41662945 ms ; SW4 ;has been pressed
41662966 ms ; SW1 ;has been pressed
41662987 ms ; SW3 ;has been pressed
41663631 ms ; SW3 ;has been pressed
41663700 ms ; SW1 ;has been pressed
41663722 ms ; SW4 ;has been pressed
41664119 ms ; SW1 ;has been pressed
41664140 ms ; SW4 ;has been pressed
41664727 ms ; SW2 ;has been pressed
41665116 ms ; SW3 ;has been pressed
41667603 ms ; SW1 ;has been pressed
41668632 ms ; SW1 ;has been pressed
41736680 ms ; SW4 ;has been pressed
41737342 ms ; SW4 ;has been pressed
41737844 ms ; SW4 ;has been pressed
41738362 ms ; SW4 ;has been pressed
41738816 ms ; SW4 ;has been pressed
41739264 ms ; SW4 ;has been pressed
41739684 ms ; SW4 ;has been pressed
41740556 ms ; SW4 ;has been pressed
41741084 ms ; SW4 ;has been pressed
41746166 ms ; SW2 ;has been pressed and the led UV has activate
41746292 ms ; SW4 ;has been pressed
41747233 ms ; SW1 ;has been pressed
41749895 ms ; SW4 ;has been pressed
41749915 ms ; SW1 ;has been pressed
41751186 ms ; SW4 ;has been pressed
41752543 ms ; SW3 ;has been pressed
41754440 ms ; SW3 ;has been pressed
41756879 ms ; SW2 ;has been pressed
41757033 ms ; SW2 ;has been pressed
41757809 ms ; SW2 ;has been pressed
41757930 ms ; SW4 ;has been pressed
41759182 ms ; SW2 ;has been pressed
41759352 ms ; SW2 ;has been pressed
41760901 ms ; SW2 ;has been pressed
41761025 ms ; SW2 ;has been pressed
41761046 ms ; SW4 ;has been pressed
41763009 ms ; SW1 ;has been pressed
41764939 ms ; SW4 ;has been pressed
41767112 ms ; SW1 ;has been pressed
41769210 ms ; SW4 ;has been pressed
41791960 ms ; SW1 ;has been pressed
41792580 ms ; SW2 ;has been pressed
41793064 ms ; SW2 ;has been pressed
41793430 ms ; SW2 ;has been pressed
41793612 ms ; SW2 ;has been pressed
41794260 ms ; SW3 ;has been pressed
41794828 ms ; SW1 ;has been pressed
41795880 ms ; SW3 ;has been pressed
41795955 ms ; SW2 ;has been pressed
41797246 ms ; SW2 ;has been pressed
41798060 ms ; SW3 ;has been pressed
41798308 ms ; SW4 ;has been pressed
41799392 ms ; SW1 ;has been pressed
41805920 ms ; SW1 ;has been pressed
41806584 ms ; SW2 ;has been pressed
41806760 ms ; SW2 ;has been pressed
41807156 ms ; SW2 ;has been pressed
41807177 ms ; SW1 ;has been pressed
41807370 ms ; SW2 ;has been pressed
41828671 ms ; SW1 ;has been pressed
41829596 ms ; SW3 ;has been pressed
41830116 ms ; SW2 ;has been pressed
41830238 ms ; SW2 ;has been pressed
41830594 ms ; SW4 ;has been pressed
41831025 ms ; SW1 ;has been pressed
41833581 ms ; SW4 ;has been pressed
41835158 ms ; SW3 ;has been pressed
41835195 ms ; SW2 ;has been pressed
41835343 ms ; SW2 ;has been pressed
41987254 ms ; SW3 ;has been pressed and the led UV has activate
41987571 ms ; SW4 ;has been pressed
41987722 ms ; SW2 ;has been pressed
41987856 ms ; SW2 ;has been pressed
41987977 ms ; SW3 ;has been pressed
41988116 ms ; SW1 ;has been pressed
41988585 ms ; SW4 ;has been pressed
41988725 ms ; SW1 ;has been pressed
41988888 ms ; SW3 ;has been pressed
41989730 ms ; SW2 ;has been pressed
42000288 ms ; SW3 ;has been pressed
42001657 ms ; SW3 ;has been pressed
42002132 ms ; SW3 ;has been pressed
42002449 ms ; SW3 ;has been pressed
42053040 ms ; SW4 ;has been pressed
42053379 ms ; SW4 ;has been pressed
42055569 ms ; SW2 ;has been pressed
42056248 ms ; SW3 ;has been pressed
42056370 ms ; SW3 ;has been pressed
42056779 ms ; SW2 ;has been pressed
42056901 ms ; SW2 ;has been pressed
42058732 ms ; SW1 ;has been pressed
42059557 ms ; SW4 ;has been pressed
42059977 ms ; SW2 ;has been pressed
42060104 ms ; SW2 ;has been pressed
42060912 ms ; SW3 ;has been pressed
42061256 ms ; SW3 ;has been pressed
42061461 ms ; SW3 ;has been pressed
42061592 ms ; SW3 ;has been pressed
42061905 ms ; SW2 ;has been pressed
42062190 ms ; SW2 ;has been pressed
42062741 ms ; SW4 ;has been pressed
42063052 ms ; SW1 ;has been pressed
42130792 ms ; SW1 ;has been pressed
42131126 ms ; SW1 ;has been pressed
42131403 ms ; SW1 ;has been pressed
42131749 ms ; SW1 ;has been pressed
42132496 ms ; SW1 ;has been pressed
42132600 ms ; SW3 ;has been pressed
42133180 ms ; SW2 ;has been pressed
42133316 ms ; SW2 ;has been pressed
42133338 ms ; SW3 ;has been pressed
42140834 ms ; SW4 ;has been pressed and the led UV has activate
42157156 ms ; SW1 ;has been pressed
42157486 ms ; SW2 ;has been pressed
42157614 ms ; SW2 ;has been pressed
42209354 ms ; SW2 ;has been pressed
42209648 ms ; SW1 ;has been pressed
42209680 ms ; SW2 ;has been pressed
42209938 ms ; SW2 ;has been pressed
42211989 ms ; SW4 ;has been pressed
42213473 ms ; SW3 ;has been pressed
42221540 ms ; SW1 ;has been pressed
42221808 ms ; SW2 ;has been pressed
42222447 ms ; SW4 ;has been pressed
42223263 ms ; SW2 ;has been pressed
42223395 ms ; SW2 ;has been pressed
42224149 ms ; SW3 ;has been pressed
42224391 ms ; SW2 ;has been pressed
42434193 ms ; SW4 ;has been pressed
42435465 ms ; SW3 ;has been pressed
42455571 ms ; SW3 ;has been pressed
42455642 ms ; SW2 ;has been pressed
42455762 ms ; SW2 ;has been pressed
42457689 ms ; SW4 ;has been pressed
42463007 ms ; SW3 ;has been pressed
42466647 ms ; SW1 ;has been pressed and the led UV has activate
42467792 ms ; SW4 ;has been pressed
42467952 ms ; SW4 ;has been pressed
42468130 ms ; SW4 ;has been pressed
42468298 ms ; SW4 ;has been pressed
42470807 ms ; SW3 ;has been pressed
42470829 ms ; SW2 ;has been pressed
42471003 ms ; SW2 ;has been pressed
42471126 ms ; SW2 ;has been pressed
42484669 ms ; SW1 ;has been pressed
42493791 ms ; SW1 ;has been pressed
42494099 ms ; SW1 ;has been pressed
42494495 ms ; SW2 ;has been pressed
42495240 ms ; SW3 ;has been pressed
42495551 ms ; SW4 ;has been pressed
42499345 ms ; SW1 ;has been pressed
42502350 ms ; SW1 ;has been pressed
42535468 ms ; SW3 ;has been pressed
42586427 ms ; SW1 ;has been pressed
42587603 ms ; SW2 ;has been pressed and the led UV has activate
42588574 ms ; SW4 ;has been pressed
42588598 ms ; SW2 ;has been pressed
42588618 ms ; SW3 ;has been pressed
42588640 ms ; SW1 ;has been pressed
42588977 ms ; SW2 ;has been pressed
42589231 ms ; SW2 ;has been pressed
42589357 ms ; SW2 ;has been pressed
42589478 ms ; SW2 ;has been pressed
42589652 ms ; SW2 ;has been pressed
42589803 ms ; SW2 ;has been pressed
42591276 ms ; SW4 ;has been pressed
42591837 ms ; SW3 ;has been pressed
42592260 ms ; SW1 ;has been pressed
42592590 ms ; SW4 ;has been pressed
42592612 ms ; SW1 ;has been pressed
42592887 ms ; SW2 ;has been pressed
42592909 ms ; SW3 ;has been pressed
42593045 ms ; SW4 ;has been pressed
42593462 ms ; SW2 ;has been pressed
42617577 ms ; SW2 ;has been pressed
42617734 ms ; SW2 ;has been pressed
42617917 ms ; SW3 ;has been pressed
42618162 ms ; SW4 ;has been pressed
42618314 ms ; SW1 ;has been pressed
42618436 ms ; SW4 ;has been pressed
42618843 ms ; SW1 ;has been pressed
42619206 ms ; SW4 ;has been pressed
42619228 ms ; SW1 ;has been pressed
42619849 ms ; SW4 ;has been pressed
42619922 ms ; SW1 ;has been pressed
42620980 ms ; SW3 ;has been pressed
42621396 ms ; SW4 ;has been pressed
42629830 ms ; SW4 ;has been pressed
42631394 ms ; SW1 ;has been pressed
42632528 ms ; SW3 ;has been pressed
42633183 ms ; SW2 ;has been pressed
42636286 ms ; SW2 ;has been pressed
42636460 ms ; SW2 ;has been pressed
42636615 ms ; SW2 ;has been pressed
42636789 ms ; SW2 ;has been pressed
42637268 ms ; SW2 ;has been pressed
42637517 ms ; SW2 ;has been pressed
42638444 ms ; SW4 ;has been pressed
42638905 ms ; SW3 ;has been pressed
42639350 ms ; SW4 ;has been pressed
42644734 ms ; SW3 ;has been pressed
42649773 ms ; SW2 ;has been pressed
42654526 ms ; SW2 ;has been pressed
42674904 ms ; SW2 ;has been pressed
42675102 ms ; SW2 ;has been pressed
42675373 ms ; SW2 ;has been pressed
42675655 ms ; SW2 ;has been pressed
42679444 ms ; SW2 ;has been pressed
42680128 ms ; SW2 ;has been pressed
42680288 ms ; SW2 ;has been pressed
42680895 ms ; SW1 ;has been pressed
42681317 ms ; SW1 ;has been pressed
42682077 ms ; SW3 ;has been pressed and the led UV has activate
42682469 ms ; SW3 ;has been pressed
42683392 ms ; SW2 ;has been pressed
42683887 ms ; SW2 ;has been pressed
42684521 ms ; SW2 ;has been pressed
42685782 ms ; SW2 ;has been pressed
42686732 ms ; SW1 ;has been pressed
42688786 ms ; SW3 ;has been pressed
42688917 ms ; SW3 ;has been pressed
42689111 ms ; SW3 ;has been pressed
42689415 ms ; SW3 ;has been pressed
42689711 ms ; SW3 ;has been pressed
42689837 ms ; SW3 ;has been pressed
42690028 ms ; SW3 ;has been pressed
42690338 ms ; SW3 ;has been pressed
42690603 ms ; SW3 ;has been pressed
42690873 ms ; SW3 ;has been pressed
42692246 ms ; SW4 ;has been pressed
42713460 ms ; SW1 ;has been pressed
42714082 ms ; SW1 ;has been pressed
42714440 ms ; SW1 ;has been pressed
42727694 ms ; SW2 ;has been pressed
42727715 ms ; SW3 ;has been pressed
42728439 ms ; SW1 ;has been pressed
42728461 ms ; SW4 ;has been pressed
42729000 ms ; SW1 ;has been pressed
