415 ms ; init
8367164 ms ; SW2 ;has been pressed
8367337 ms ; SW2 ;has been pressed
8367620 ms ; SW2 ;has been pressed
8368293 ms ; SW2 ;has been pressed
8368496 ms ; SW2 ;has been pressed
8369006 ms ; SW3 ;has been pressed
8369291 ms ; SW3 ;has been pressed
8369526 ms ; SW1 ;has been pressed and the led UV has activate
8369889 ms ; SW2 ;has been pressed
8369907 ms ; SW4 ;has been pressed
8370157 ms ; SW4 ;has been pressed
8370180 ms ; SW2 ;has been pressed
8370358 ms ; SW4 ;has been pressed
8370515 ms ; SW2 ;has been pressed
8370649 ms ; SW4 ;has been pressed
8370961 ms ; SW1 ;has been pressed
8370979 ms ; SW4 ;has been pressed
8371259 ms ; SW3 ;has been pressed
8371277 ms ; SW1 ;has been pressed
8371551 ms ; SW3 ;has been pressed
8371569 ms ; SW1 ;has been pressed
8371796 ms ; SW3 ;has been pressed
8372106 ms ; SW2 ;has been pressed
8372427 ms ; SW1 ;has been pressed
8372447 ms ; SW2 ;has been pressed
8372622 ms ; SW2 ;has been pressed
8372745 ms ; SW1 ;has been pressed
8372922 ms ; SW1 ;has been pressed
8373115 ms ; SW2 ;has been pressed
8373661 ms ; SW2 ;has been pressed
8374142 ms ; SW1 ;has been pressed
8374429 ms ; SW2 ;has been pressed
8374448 ms ; SW1 ;has been pressed
8374727 ms ; SW1 ;has been pressed
8374747 ms ; SW2 ;has been pressed
8374765 ms ; SW4 ;has been pressed
8374993 ms ; SW2 ;has been pressed
8375212 ms ; SW2 ;has been pressed
8375373 ms ; SW2 ;has been pressed
8375405 ms ; SW3 ;has been pressed
8375501 ms ; SW4 ;has been pressed
8375668 ms ; SW2 ;has been pressed
8375687 ms ; SW1 ;has been pressed
8376128 ms ; SW1 ;has been pressed
8376262 ms ; SW2 ;has been pressed
8376491 ms ; SW2 ;has been pressed
8376509 ms ; SW1 ;has been pressed
8376742 ms ; SW2 ;has been pressed
8376761 ms ; SW1 ;has been pressed
8376958 ms ; SW1 ;has been pressed
8383848 ms ; SW1 ;has been pressed
8384603 ms ; SW2 ;has been pressed
8385300 ms ; SW2 ;has been pressed
8385419 ms ; SW2 ;has been pressed
8385554 ms ; SW2 ;has been pressed
8385572 ms ; SW1 ;has been pressed
8386164 ms ; SW2 ;has been pressed
8386319 ms ; SW2 ;has been pressed
8386337 ms ; SW1 ;has been pressed
8387637 ms ; SW3 ;has been pressed
8388182 ms ; SW4 ;has been pressed
8388525 ms ; SW4 ;has been pressed
8388878 ms ; SW4 ;has been pressed
8389276 ms ; SW4 ;has been pressed
8417006 ms ; SW1 ;has been pressed
8417519 ms ; SW2 ;has been pressed
8417705 ms ; SW2 ;has been pressed
8417862 ms ; SW2 ;has been pressed
8418003 ms ; SW2 ;has been pressed
8418267 ms ; SW2 ;has been pressed
8418509 ms ; SW2 ;has been pressed
8418702 ms ; SW2 ;has been pressed
8418829 ms ; SW2 ;has been pressed
8419138 ms ; SW2 ;has been pressed
8419405 ms ; SW2 ;has been pressed
8419524 ms ; SW2 ;has been pressed
9249520 ms ; SW2 ;has been pressed and the led UV has activate
9314812 ms ; SW3 ;has been pressed
9315062 ms ; SW3 ;has been pressed
9315436 ms ; SW4 ;has been pressed
9315649 ms ; SW4 ;has been pressed
9316039 ms ; SW2 ;has been pressed
9316242 ms ; SW2 ;has been pressed
9316815 ms ; SW1 ;has been pressed
9317020 ms ; SW1 ;has been pressed
9320572 ms ; SW1 ;has been pressed
9320897 ms ; SW2 ;has been pressed
9321026 ms ; SW2 ;has been pressed
9321515 ms ; SW1 ;has been pressed
9322014 ms ; SW2 ;has been pressed
9322829 ms ; SW3 ;has been pressed
9322848 ms ; SW4 ;has been pressed
9323075 ms ; SW4 ;has been pressed
9323194 ms ; SW4 ;has been pressed
9323213 ms ; SW3 ;has been pressed
9323813 ms ; SW2 ;has been pressed
9324327 ms ; SW1 ;has been pressed
9324546 ms ; SW1 ;has been pressed
9356180 ms ; SW3 ;has been pressed and the led UV has activate
9365045 ms ; SW3 ;has been pressed
9365484 ms ; SW3 ;has been pressed
9365805 ms ; SW3 ;has been pressed
9366136 ms ; SW3 ;has been pressed
9366454 ms ; SW3 ;has been pressed
9366747 ms ; SW3 ;has been pressed
9367453 ms ; SW4 ;has been pressed
9367887 ms ; SW4 ;has been pressed
9368176 ms ; SW4 ;has been pressed
9368414 ms ; SW4 ;has been pressed
9377293 ms ; SW3 ;has been pressed
9401639 ms ; SW2 ;has been pressed
9402565 ms ; SW1 ;has been pressed
9410685 ms ; SW2 ;has been pressed
9411340 ms ; SW3 ;has been pressed
9412141 ms ; SW4 ;has been pressed
9420055 ms ; SW3 ;has been pressed
9420381 ms ; SW3 ;has been pressed
9420858 ms ; SW4 ;has been pressed
9421274 ms ; SW3 ;has been pressed
9421877 ms ; SW2 ;has been pressed
9508905 ms ; SW4 ;has been pressed and the led UV has activate
9509702 ms ; SW3 ;has been pressed
9510251 ms ; SW2 ;has been pressed
9511154 ms ; SW1 ;has been pressed
9587628 ms ; SW4 ;has been pressed
