414 ms ; init
249 ms ; init
65685961 ms ; SW2 ;has been pressed
65686080 ms ; SW4 ;has been pressed
65686099 ms ; SW3 ;has been pressed
65686318 ms ; SW3 ;has been pressed
65686537 ms ; SW3 ;has been pressed
65687520 ms ; SW4 ;has been pressed
65687868 ms ; SW4 ;has been pressed
65687987 ms ; SW4 ;has been pressed
65688005 ms ; SW2 ;has been pressed
65688025 ms ; SW3 ;has been pressed
65688858 ms ; SW1 ;has been pressed
65689756 ms ; SW4 ;has been pressed
65689890 ms ; SW4 ;has been pressed
65690173 ms ; SW3 ;has been pressed
65690371 ms ; SW4 ;has been pressed
65690489 ms ; SW4 ;has been pressed
65690822 ms ; SW4 ;has been pressed
65690941 ms ; SW4 ;has been pressed
65691300 ms ; SW4 ;has been pressed
65691505 ms ; SW4 ;has been pressed
65692263 ms ; SW4 ;has been pressed
65692635 ms ; SW4 ;has been pressed
65693368 ms ; SW2 ;has been pressed
65693393 ms ; SW4 ;has been pressed
65693987 ms ; SW4 ;has been pressed
65694106 ms ; SW3 ;has been pressed
65694336 ms ; SW4 ;has been pressed
65694455 ms ; SW4 ;has been pressed
65694674 ms ; SW1 ;has been pressed
65694785 ms ; SW4 ;has been pressed
65695238 ms ; SW4 ;has been pressed
65695560 ms ; SW1 ;has been pressed
65696047 ms ; SW4 ;has been pressed
65696192 ms ; SW3 ;has been pressed
65696311 ms ; SW2 ;has been pressed
65696330 ms ; SW4 ;has been pressed
65696349 ms ; SW1 ;has been pressed
65698390 ms ; SW4 ;has been pressed
65698757 ms ; SW4 ;has been pressed
65698876 ms ; SW4 ;has been pressed
65698995 ms ; SW2 ;has been pressed
65699014 ms ; SW4 ;has been pressed
65699037 ms ; SW1 ;has been pressed
65699075 ms ; SW3 ;has been pressed
65699194 ms ; SW3 ;has been pressed
65786728 ms ; SW1 ;has been pressed
65787002 ms ; SW1 ;has been pressed
65787186 ms ; SW1 ;has been pressed
65787387 ms ; SW1 ;has been pressed
65787581 ms ; SW1 ;has been pressed
65788059 ms ; SW2 ;has been pressed and the led UV has activate
65788278 ms ; SW2 ;has been pressed
65809477 ms ; SW1 ;has been pressed
65809701 ms ; SW1 ;has been pressed
65811410 ms ; SW1 ;has been pressed
65813783 ms ; SW1 ;has been pressed
65828527 ms ; SW1 ;has been pressed
65828861 ms ; SW2 ;has been pressed
65829760 ms ; SW3 ;has been pressed
65830062 ms ; SW3 ;has been pressed
65830175 ms ; SW4 ;has been pressed
65830394 ms ; SW2 ;has been pressed
65830513 ms ; SW4 ;has been pressed
65830781 ms ; SW3 ;has been pressed
65830800 ms ; SW2 ;has been pressed
65830819 ms ; SW1 ;has been pressed
65844822 ms ; SW1 ;has been pressed
65845598 ms ; SW2 ;has been pressed
65846338 ms ; SW3 ;has been pressed
65846671 ms ; SW4 ;has been pressed
65847074 ms ; SW4 ;has been pressed
65847245 ms ; SW4 ;has been pressed
65847542 ms ; SW4 ;has been pressed
65847562 ms ; SW3 ;has been pressed
65847580 ms ; SW1 ;has been pressed
65847742 ms ; SW2 ;has been pressed
65847760 ms ; SW3 ;has been pressed
65848436 ms ; SW4 ;has been pressed
65848734 ms ; SW4 ;has been pressed
65849196 ms ; SW4 ;has been pressed
65849329 ms ; SW4 ;has been pressed
65849449 ms ; SW4 ;has been pressed
65849467 ms ; SW2 ;has been pressed
65849506 ms ; SW1 ;has been pressed
65849572 ms ; SW3 ;has been pressed
65892360 ms ; SW4 ;has been pressed
65892606 ms ; SW4 ;has been pressed
65892827 ms ; SW4 ;has been pressed
65893115 ms ; SW1 ;has been pressed
65893322 ms ; SW3 ;has been pressed and the led UV has activate
65893541 ms ; SW1 ;has been pressed
65893681 ms ; SW3 ;has been pressed
65894085 ms ; SW3 ;has been pressed
65894276 ms ; SW3 ;has been pressed
65894564 ms ; SW3 ;has been pressed
65895345 ms ; SW2 ;has been pressed
65895802 ms ; SW1 ;has been pressed
65896071 ms ; SW3 ;has been pressed
65896189 ms ; SW2 ;has been pressed
65896500 ms ; SW2 ;has been pressed
65896921 ms ; SW1 ;has been pressed
65897080 ms ; SW4 ;has been pressed
65897231 ms ; SW4 ;has been pressed
65897357 ms ; SW2 ;has been pressed
65897710 ms ; SW1 ;has been pressed
65898255 ms ; SW1 ;has been pressed
65898273 ms ; SW3 ;has been pressed
65898465 ms ; SW3 ;has been pressed
65898678 ms ; SW1 ;has been pressed
65899020 ms ; SW4 ;has been pressed
65899042 ms ; SW2 ;has been pressed
65899249 ms ; SW1 ;has been pressed
65899426 ms ; SW1 ;has been pressed
65899550 ms ; SW1 ;has been pressed
65899669 ms ; SW1 ;has been pressed
65909186 ms ; SW2 ;has been pressed
65909425 ms ; SW1 ;has been pressed
65909767 ms ; SW1 ;has been pressed
65910078 ms ; SW1 ;has been pressed
65910208 ms ; SW3 ;has been pressed
65910343 ms ; SW1 ;has been pressed
65910637 ms ; SW1 ;has been pressed
65910934 ms ; SW1 ;has been pressed
65911163 ms ; SW1 ;has been pressed
65932260 ms ; SW3 ;has been pressed
65932324 ms ; SW4 ;has been pressed
65932469 ms ; SW4 ;has been pressed
65932859 ms ; SW3 ;has been pressed
65934400 ms ; SW4 ;has been pressed
65934418 ms ; SW1 ;has been pressed
65934637 ms ; SW4 ;has been pressed
65935101 ms ; SW1 ;has been pressed
65935220 ms ; SW3 ;has been pressed
65935240 ms ; SW4 ;has been pressed
