13 ms ; init
23453015 ms ; Button pressed (no action triggered)
23453632 ms ; Button pressed (no action triggered)
23453878 ms ; Button pressed (no action triggered)
23454256 ms ; Button pressed (no action triggered)
23454574 ms ; Button pressed (no action triggered)
23454853 ms ; Button pressed (no action triggered)
23455069 ms ; Button pressed (no action triggered)
23455301 ms ; Button pressed (no action triggered)
23474282 ms ; Button pressed - Motor activated
23478423 ms ; Motor stopped - Micro switch triggered
23478560 ms ; Button pressed (no action triggered)
23480624 ms ; Button pressed (no action triggered)
23483219 ms ; Button pressed (no action triggered)
24236017 ms ; Button pressed - Motor activated
24239252 ms ; Button pressed (while motor running)
24240123 ms ; Motor stopped - Micro switch triggered
24245962 ms ; Button pressed (no action triggered)
24246453 ms ; Button pressed (no action triggered)
24246851 ms ; Button pressed (no action triggered)
24347270 ms ; Button pressed - Motor activated
24349614 ms ; Button pressed (while motor running)
24351147 ms ; Button pressed (while motor running)
24351369 ms ; Motor stopped - Micro switch triggered
24386994 ms ; Button pressed - Motor activated
24388142 ms ; Button pressed (while motor running)
24388539 ms ; Button pressed (while motor running)
24389373 ms ; Button pressed (while motor running)
24390999 ms ; Button pressed (while motor running)
24391111 ms ; Motor stopped - Micro switch triggered
24397462 ms ; Button pressed (no action triggered)
24398920 ms ; Button pressed (no action triggered)
24401166 ms ; Button pressed (no action triggered)
24409047 ms ; Button pressed (no action triggered)
24412602 ms ; Button pressed (no action triggered)
24413921 ms ; Button pressed (no action triggered)
24414618 ms ; Button pressed (no action triggered)
24415162 ms ; Button pressed (no action triggered)
24415347 ms ; Button pressed (no action triggered)
24415528 ms ; Button pressed (no action triggered)
24415689 ms ; Button pressed (no action triggered)
24415886 ms ; Button pressed (no action triggered)
24416136 ms ; Button pressed (no action triggered)
24418791 ms ; Button pressed (no action triggered)
24421596 ms ; Button pressed - Motor activated
24425661 ms ; Motor stopped - Micro switch triggered
24428353 ms ; Button pressed (no action triggered)
25970720 ms ; Button pressed - Motor activated
25974854 ms ; Motor stopped - Micro switch triggered
25995941 ms ; Button pressed (no action triggered)
25998739 ms ; Button pressed (no action triggered)
26008193 ms ; Button pressed - Motor activated
26009385 ms ; Button pressed (while motor running)
26012259 ms ; Motor stopped - Micro switch triggered
151 ms ; init
220 ms ; Button pressed (no action triggered)
7218340 ms ; Button pressed - Motor activated
7222491 ms ; Motor stopped - Micro switch triggered
7227656 ms ; Button pressed (no action triggered)
7231506 ms ; Button pressed (no action triggered)
7244002 ms ; Button pressed (no action triggered)
7979072 ms ; Button pressed - Motor activated
7980296 ms ; Button pressed (while motor running)
7982283 ms ; Button pressed (while motor running)
7982661 ms ; Button pressed (while motor running)
7983041 ms ; Button pressed (while motor running)
7983230 ms ; Motor stopped - Micro switch triggered
7983289 ms ; Button pressed (no action triggered)
7983830 ms ; Button pressed (no action triggered)
7984190 ms ; Button pressed (no action triggered)
7990674 ms ; Button pressed (no action triggered)
7993127 ms ; Button pressed (no action triggered)
7993673 ms ; Button pressed (no action triggered)
8000293 ms ; Button pressed (no action triggered)
8001437 ms ; Button pressed (no action triggered)
8002058 ms ; Button pressed (no action triggered)
8002600 ms ; Button pressed (no action triggered)
8006478 ms ; Button pressed (no action triggered)
8007281 ms ; Button pressed (no action triggered)
8019357 ms ; Button pressed - Motor activated
8023451 ms ; Motor stopped - Micro switch triggered
8026050 ms ; Button pressed (no action triggered)
8032785 ms ; Button pressed (no action triggered)
8033223 ms ; Button pressed (no action triggered)
8033774 ms ; Button pressed (no action triggered)
8034251 ms ; Button pressed (no action triggered)
8034922 ms ; Button pressed (no action triggered)
8053715 ms ; Button pressed - Motor activated
8054845 ms ; Button pressed (while motor running)
8055141 ms ; Button pressed (while motor running)
8055601 ms ; Button pressed (while motor running)
8056164 ms ; Button pressed (while motor running)
8056398 ms ; Button pressed (while motor running)
8056654 ms ; Button pressed (while motor running)
8057132 ms ; Button pressed (while motor running)
8057387 ms ; Button pressed (while motor running)
8057622 ms ; Button pressed (while motor running)
8057826 ms ; Motor stopped - Micro switch triggered
8058241 ms ; Button pressed (no action triggered)
8058500 ms ; Button pressed (no action triggered)
8058685 ms ; Button pressed (no action triggered)
8059220 ms ; Button pressed (no action triggered)
8059466 ms ; Button pressed (no action triggered)
8059841 ms ; Button pressed (no action triggered)
119 ms ; init
189 ms ; Button pressed (no action triggered)
2712856 ms ; Button pressed - Motor activated
2716979 ms ; Motor stopped - Micro switch triggered
2824286 ms ; Button pressed - Motor activated
2828449 ms ; Motor stopped - Micro switch triggered
2828762 ms ; Button pressed (no action triggered)
2834347 ms ; Button pressed (no action triggered)
2836007 ms ; Button pressed (no action triggered)
2838540 ms ; Button pressed (no action triggered)
4153581 ms ; Button pressed - Motor activated
4157710 ms ; Motor stopped - Micro switch triggered
4340690 ms ; Button pressed - Motor activated
4344833 ms ; Motor stopped - Micro switch triggered
4345578 ms ; Button pressed (no action triggered)
4345892 ms ; Button pressed (no action triggered)
4346172 ms ; Button pressed (no action triggered)
4346446 ms ; Button pressed (no action triggered)
4346720 ms ; Button pressed (no action triggered)
4353169 ms ; Button pressed (no action triggered)
4354724 ms ; Button pressed (no action triggered)
4355229 ms ; Button pressed (no action triggered)
4355559 ms ; Button pressed (no action triggered)
4368526 ms ; Button pressed (no action triggered)
4368929 ms ; Button pressed (no action triggered)
4369049 ms ; Button pressed (no action triggered)
4369209 ms ; Button pressed (no action triggered)
4369541 ms ; Button pressed (no action triggered)
4369846 ms ; Button pressed (no action triggered)
4370142 ms ; Button pressed (no action triggered)
4370499 ms ; Button pressed (no action triggered)
4370969 ms ; Button pressed (no action triggered)
4371374 ms ; Button pressed (no action triggered)
4371544 ms ; Button pressed (no action triggered)
4503294 ms ; Button pressed - Motor activated
4504555 ms ; Button pressed (while motor running)
4504942 ms ; Button pressed (while motor running)
4505317 ms ; Button pressed (while motor running)
4505678 ms ; Button pressed (while motor running)
4506090 ms ; Button pressed (while motor running)
4507420 ms ; Motor stopped - Micro switch triggered
4550322 ms ; Button pressed - Motor activated
4551570 ms ; Button pressed (while motor running)
4551759 ms ; Button pressed (while motor running)
4551955 ms ; Button pressed (while motor running)
4553260 ms ; Button pressed (while motor running)
4553585 ms ; Button pressed (while motor running)
4553843 ms ; Button pressed (while motor running)
4554051 ms ; Button pressed (while motor running)
4554362 ms ; Motor stopped - Micro switch triggered
4554557 ms ; Button pressed (no action triggered)
4554851 ms ; Button pressed (no action triggered)
4555087 ms ; Button pressed (no action triggered)
4555334 ms ; Button pressed (no action triggered)
4555855 ms ; Button pressed (no action triggered)
4556079 ms ; Button pressed (no action triggered)
4556319 ms ; Button pressed (no action triggered)
4556496 ms ; Button pressed (no action triggered)
4556777 ms ; Button pressed (no action triggered)
4557048 ms ; Button pressed (no action triggered)
4557278 ms ; Button pressed (no action triggered)
4558924 ms ; Button pressed (no action triggered)
4560226 ms ; Button pressed (no action triggered)
4560571 ms ; Button pressed (no action triggered)
4560812 ms ; Button pressed (no action triggered)
4561031 ms ; Button pressed (no action triggered)
4563795 ms ; Button pressed (no action triggered)
4564874 ms ; Button pressed (no action triggered)
4565947 ms ; Button pressed (no action triggered)
4567171 ms ; Button pressed (no action triggered)
